"Order number","Item sold","Cost per item","Quantity","Date"
"18198","Camera","499.99","1","11/07/2024"
"18199","Smartwatch","289.99","1","11/07/2024"
"18200","Laptop","999.99","1","11/07/2024"
"18201","Camera","499.99","1","11/07/2024"
"18202","Headphones","39.99","1","11/07/2024"
"18203","Headphones","39.99","3","11/07/2024"
"18204","Camera","499.99","1","11/07/2024"
"18205","Camera","499.99","1","12/07/2024"
"18206","Smartwatch","289.99","1","12/07/2024"
"18207","Smartwatch","289.99","2","12/07/2024"
"18208","Laptop","999.99","1","12/07/2024"
"18209","Headphones","39.99","3","12/07/2024"
"18210","Smartwatch","289.99","2","12/07/2024"
"18211","Charger","10.99","2","12/07/2024"
"18212","Camera","499.99","1","12/07/2024"
"18213","Camera","499.99","1","12/07/2024"
"18214","Camera","499.99","1","13/07/2024"
"18215","Smartwatch","289.99","2","13/07/2024"
"18216","Charger","10.99","2","13/07/2024"
"18217","Phone","699.99","2","13/07/2024"
"18218","Headphones","39.99","3","13/07/2024"
"18219","Smartwatch","289.99","1","13/07/2024"
"18220","Camera","499.99","1","14/07/2024"
"18221","Headphones","39.99","2","14/07/2024"
"18222","Camera","499.99","1","14/07/2024"
"18223","Camera","499.99","1","14/07/2024"
"18224","Camera","499.99","1","14/07/2024"
"18225","Charger","10.99","3","14/07/2024"
"18226","Phone","699.99","1","14/07/2024"
"18227","Charger","10.99","3","14/07/2024"
"18228","Camera","499.99","1","14/07/2024"
"18229","Camera","499.99","1","14/07/2024"
"18230","Headphones","39.99","1","14/07/2024"
"18231","Camera","499.99","1","14/07/2024"
"18232","Laptop","999.99","1","14/07/2024"
"18233","Camera","499.99","1","14/07/2024"
"18234","Headphones","39.99","1","14/07/2024"
"18235","Charger","10.99","1","14/07/2024"
"18236","Phone","699.99","1","15/07/2024"
"18237","Phone","699.99","2","15/07/2024"
"18238","Smartwatch","289.99","1","15/07/2024"
"18239","Laptop","999.99","1","15/07/2024"
"18240","Headphones","39.99","3","15/07/2024"
"18241","Phone","699.99","1","15/07/2024"
"18242","Phone","699.99","2","15/07/2024"
"18243","Smartwatch","289.99","1","16/07/2024"
"18244","Phone","699.99","2","16/07/2024"
"18245","Smartwatch","289.99","2","16/07/2024"
"18246","Smartwatch","289.99","1","16/07/2024"
"18247","Headphones","39.99","1","16/07/2024"
"18248","Camera","499.99","1","16/07/2024"
"18249","Laptop","999.99","1","16/07/2024"
"18250","Headphones","39.99","3","16/07/2024"
"18251","Headphones","39.99","2","16/07/2024"
"18252","Laptop","999.99","1","16/07/2024"
"18253","Smartwatch","289.99","1","16/07/2024"
"18254","Phone","699.99","1","16/07/2024"
"18255","Smartwatch","289.99","2","16/07/2024"
"18256","Smartwatch","289.99","2","16/07/2024"
"18257","Smartwatch","289.99","2","17/07/2024"
"18258","Smartwatch","289.99","1","17/07/2024"
"18259","Headphones","39.99","3","17/07/2024"
"18260","Smartwatch","289.99","2","17/07/2024"
"18261","Headphones","39.99","2","17/07/2024"
"18262","Camera","499.99","1","17/07/2024"
"18263","Smartwatch","289.99","2","17/07/2024"
"18264","Headphones","39.99","2","17/07/2024"
"18265","Smartwatch","289.99","1","17/07/2024"
"18266","Charger","10.99","5","18/07/2024"
"18267","Phone","699.99","2","18/07/2024"
"18268","Phone","699.99","2","18/07/2024"
"18269","Charger","10.99","4","18/07/2024"
"18270","Camera","499.99","1","18/07/2024"
"18271","Phone","699.99","2","18/07/2024"
"18272","Smartwatch","289.99","1","18/07/2024"
"18273","Charger","10.99","2","18/07/2024"
"18274","Smartwatch","289.99","1","18/07/2024"
"18275","Camera","499.99","1","18/07/2024"
"18276","Charger","10.99","5","18/07/2024"
"18277","Phone","699.99","2","18/07/2024"
"18278","Camera","499.99","1","19/07/2024"
"18279","Charger","10.99","3","19/07/2024"
"18280","Smartwatch","289.99","1","19/07/2024"
"18281","Headphones","39.99","2","19/07/2024"
"18282","Smartwatch","289.99","1","19/07/2024"
"18283","Smartwatch","289.99","2","19/07/2024"
"18284","Phone","699.99","1","19/07/2024"
"18285","Laptop","999.99","1","19/07/2024"
"18286","Camera","499.99","1","19/07/2024"
"18287","Phone","699.99","2","19/07/2024"
"18288","Camera","499.99","1","19/07/2024"
"18289","Laptop","999.99","1","19/07/2024"
"18290","Phone","699.99","2","20/07/2024"
"18291","Headphones","39.99","3","20/07/2024"
"18292","Phone","699.99","2","20/07/2024"
"18293","Camera","499.99","1","20/07/2024"
"18294","Laptop","999.99","1","20/07/2024"
"18295","Smartwatch","289.99","2","20/07/2024"
"18296","Laptop","999.99","1","21/07/2024"
"18297","Smartwatch","289.99","2","21/07/2024"
"18298","Laptop","999.99","1","21/07/2024"
"18299","Headphones","39.99","1","21/07/2024"
"18300","Smartwatch","289.99","1","21/07/2024"
"18301","Camera","499.99","1","22/07/2024"
"18302","Smartwatch","289.99","2","22/07/2024"
"18303","Phone","699.99","1","22/07/2024"
"18304","Smartwatch","289.99","2","22/07/2024"
"18305","Smartwatch","289.99","2","22/07/2024"
"18306","Smartwatch","289.99","1","22/07/2024"
"18307","Camera","499.99","1","23/07/2024"
"18308","Headphones","39.99","3","23/07/2024"
"18309","Headphones","39.99","2","23/07/2024"
"18310","Smartwatch","289.99","1","23/07/2024"
"18311","Smartwatch","289.99","1","23/07/2024"
"18312","Camera","499.99","1","23/07/2024"
"18313","Headphones","39.99","3","23/07/2024"
"18314","Phone","699.99","2","23/07/2024"
"18315","Camera","499.99","1","23/07/2024"
"18316","Headphones","39.99","2","23/07/2024"
"18317","Phone","699.99","1","23/07/2024"
"18318","Charger","10.99","5","23/07/2024"
"18319","Charger","10.99","4","23/07/2024"
"18320","Phone","699.99","1","24/07/2024"
"18321","Charger","10.99","3","24/07/2024"
"18322","Headphones","39.99","2","24/07/2024"
"18323","Laptop","999.99","1","24/07/2024"
"18324","Headphones","39.99","2","24/07/2024"
"18325","Camera","499.99","1","24/07/2024"
"18326","Camera","499.99","1","24/07/2024"
"18327","Phone","699.99","2","24/07/2024"
"18328","Headphones","39.99","1","24/07/2024"
"18329","Camera","499.99","1","24/07/2024"
"18330","Laptop","999.99","1","25/07/2024"
"18331","Smartwatch","289.99","2","25/07/2024"
"18332","Smartwatch","289.99","1","25/07/2024"
"18333","Laptop","999.99","1","25/07/2024"
"18334","Laptop","999.99","1","25/07/2024"
"18335","Camera","499.99","1","25/07/2024"
"18336","Phone","699.99","1","25/07/2024"
"18337","Headphones","39.99","3","25/07/2024"
"18338","Headphones","39.99","3","25/07/2024"
"18339","Camera","499.99","1","25/07/2024"
"18340","Laptop","999.99","1","25/07/2024"
"18341","Phone","699.99","2","26/07/2024"
"18342","Phone","699.99","2","26/07/2024"
"18343","Phone","699.99","1","26/07/2024"
"18344","Charger","10.99","1","26/07/2024"
"18345","Camera","499.99","1","26/07/2024"
"18346","Phone","699.99","2","26/07/2024"
"18347","Headphones","39.99","3","26/07/2024"
"18348","Charger","10.99","3","26/07/2024"
"18349","Smartwatch","289.99","2","26/07/2024"
"18350","Phone","699.99","2","26/07/2024"
"18351","Smartwatch","289.99","2","26/07/2024"
"18352","Smartwatch","289.99","2","26/07/2024"
"18353","Charger","10.99","1","26/07/2024"
"18354","Camera","499.99","1","26/07/2024"
"18355","Laptop","999.99","1","27/07/2024"
"18356","Charger","10.99","5","27/07/2024"
"18357","Headphones","39.99","3","27/07/2024"
"18358","Headphones","39.99","1","27/07/2024"
"18359","Smartwatch","289.99","1","27/07/2024"
"18360","Laptop","999.99","1","27/07/2024"
"18361","Laptop","999.99","1","27/07/2024"
"18362","Laptop","999.99","1","27/07/2024"
"18363","Camera","499.99","1","27/07/2024"
"18364","Laptop","999.99","1","27/07/2024"
"18365","Phone","699.99","1","28/07/2024"
"18366","Headphones","39.99","1","28/07/2024"
"18367","Laptop","999.99","1","28/07/2024"
"18368","Charger","10.99","2","28/07/2024"
"18369","Laptop","999.99","1","28/07/2024"
"18370","Laptop","999.99","1","28/07/2024"
"18371","Camera","499.99","1","28/07/2024"
"18372","Phone","699.99","1","28/07/2024"
"18373","Phone","699.99","2","29/07/2024"
"18374","Headphones","39.99","3","29/07/2024"
"18375","Laptop","999.99","1","29/07/2024"
"18376","Smartwatch","289.99","2","29/07/2024"
"18377","Charger","10.99","3","30/07/2024"
"18378","Camera","499.99","1","30/07/2024"
"18379","Laptop","999.99","1","30/07/2024"
"18380","Headphones","39.99","1","30/07/2024"
"18381","Camera","499.99","1","30/07/2024"
"18382","Charger","10.99","5","30/07/2024"
"18383","Headphones","39.99","3","30/07/2024"
"18384","Phone","699.99","2","30/07/2024"
"18385","Headphones","39.99","2","30/07/2024"
"18386","Camera","499.99","1","30/07/2024"
"18387","Laptop","999.99","1","30/07/2024"
"18388","Camera","499.99","1","30/07/2024"
"18389","Headphones","39.99","2","30/07/2024"
"18390","Laptop","999.99","1","30/07/2024"
"18391","Camera","499.99","1","31/07/2024"
"18392","Charger","10.99","5","31/07/2024"
"18393","Laptop","999.99","1","31/07/2024"
"18394","Charger","10.99","2","31/07/2024"
"18395","Charger","10.99","1","31/07/2024"
"18396","Headphones","39.99","2","31/07/2024"
"18397","Charger","10.99","4","31/07/2024"
"18398","Camera","499.99","1","31/07/2024"
"18399","Headphones","39.99","1","31/07/2024"
"18400","Laptop","999.99","1","31/07/2024"
"18401","Charger","10.99","4","01/08/2024"
"18402","Smartwatch","289.99","1","01/08/2024"
"18403","Phone","699.99","1","01/08/2024"
"18404","Laptop","999.99","1","01/08/2024"
"18405","Laptop","999.99","1","01/08/2024"
"18406","Laptop","999.99","1","01/08/2024"
"18407","Smartwatch","289.99","1","01/08/2024"
"18408","Camera","499.99","1","02/08/2024"
"18409","Phone","699.99","1","02/08/2024"
"18410","Charger","10.99","1","02/08/2024"
"18411","Headphones","39.99","2","02/08/2024"
"18412","Charger","10.99","3","02/08/2024"
"18413","Smartwatch","289.99","1","02/08/2024"
"18414","Charger","10.99","5","02/08/2024"
"18415","Charger","10.99","3","02/08/2024"
"18416","Camera","499.99","1","02/08/2024"
"18417","Headphones","39.99","1","02/08/2024"
"18418","Laptop","999.99","1","03/08/2024"
"18419","Headphones","39.99","2","03/08/2024"
"18420","Headphones","39.99","2","03/08/2024"
"18421","Charger","10.99","3","03/08/2024"
"18422","Laptop","999.99","1","03/08/2024"
"18423","Charger","10.99","2","03/08/2024"
"18424","Camera","499.99","1","03/08/2024"
"18425","Laptop","999.99","1","03/08/2024"
"18426","Smartwatch","289.99","2","03/08/2024"
"18427","Smartwatch","289.99","2","03/08/2024"
"18428","Smartwatch","289.99","2","04/08/2024"
"18429","Phone","699.99","2","04/08/2024"
"18430","Camera","499.99","1","04/08/2024"
"18431","Camera","499.99","1","04/08/2024"
"18432","Camera","499.99","1","04/08/2024"
"18433","Laptop","999.99","1","04/08/2024"
"18434","Laptop","999.99","1","05/08/2024"
"18435","Smartwatch","289.99","1","05/08/2024"
"18436","Headphones","39.99","2","05/08/2024"
"18437","Charger","10.99","5","05/08/2024"
"18438","Headphones","39.99","2","05/08/2024"
"18439","Camera","499.99","1","05/08/2024"
"18440","Smartwatch","289.99","2","05/08/2024"
"18441","Smartwatch","289.99","1","05/08/2024"
"18442","Smartwatch","289.99","2","05/08/2024"
"18443","Headphones","39.99","3","06/08/2024"
"18444","Smartwatch","289.99","2","06/08/2024"
"18445","Charger","10.99","1","06/08/2024"
"18446","Phone","699.99","2","06/08/2024"
"18447","Laptop","999.99","1","06/08/2024"
"18448","Headphones","39.99","3","06/08/2024"
"18449","Camera","499.99","1","06/08/2024"
"18450","Phone","699.99","2","06/08/2024"
"18451","Smartwatch","289.99","2","06/08/2024"
"18452","Laptop","999.99","1","06/08/2024"
"18453","Camera","499.99","1","06/08/2024"
"18454","Laptop","999.99","1","06/08/2024"
"18455","Camera","499.99","1","06/08/2024"
"18456","Camera","499.99","1","06/08/2024"
"18457","Headphones","39.99","3","07/08/2024"
"18458","Phone","699.99","2","07/08/2024"
"18459","Smartwatch","289.99","1","07/08/2024"
"18460","Camera","499.99","1","07/08/2024"
"18461","Smartwatch","289.99","2","07/08/2024"
"18462","Phone","699.99","1","07/08/2024"
"18463","Laptop","999.99","1","07/08/2024"
"18464","Charger","10.99","1","07/08/2024"
"18465","Charger","10.99","5","07/08/2024"
"18466","Camera","499.99","1","07/08/2024"
"18467","Phone","699.99","1","07/08/2024"
"18468","Charger","10.99","3","07/08/2024"
"18469","Headphones","39.99","3","08/08/2024"
"18470","Charger","10.99","1","08/08/2024"
"18471","Charger","10.99","5","08/08/2024"
"18472","Charger","10.99","5","08/08/2024"
"18473","Laptop","999.99","1","08/08/2024"
"18474","Phone","699.99","1","08/08/2024"
"18475","Smartwatch","289.99","2","08/08/2024"
"18476","Laptop","999.99","1","08/08/2024"
"18477","Camera","499.99","1","08/08/2024"
"18478","Smartwatch","289.99","2","08/08/2024"
"18479","Camera","499.99","1","08/08/2024"
"18480","Phone","699.99","1","08/08/2024"
"18481","Camera","499.99","1","08/08/2024"
"18482","Laptop","999.99","1","08/08/2024"
"18483","Smartwatch","289.99","2","09/08/2024"
"18484","Camera","499.99","1","09/08/2024"
"18485","Headphones","39.99","2","10/08/2024"
"18486","Camera","499.99","1","10/08/2024"
"18487","Camera","499.99","1","10/08/2024"
"18488","Camera","499.99","1","10/08/2024"
"18489","Headphones","39.99","3","10/08/2024"
"18490","Phone","699.99","2","10/08/2024"
"18491","Headphones","39.99","1","10/08/2024"
"18492","Camera","499.99","1","10/08/2024"
"18493","Charger","10.99","5","10/08/2024"
"18494","Phone","699.99","2","10/08/2024"
"18495","Phone","699.99","1","10/08/2024"
"18496","Smartwatch","289.99","1","10/08/2024"
"18497","Phone","699.99","2","10/08/2024"
"18498","Headphones","39.99","2","10/08/2024"
"18499","Charger","10.99","3","10/08/2024"
"18500","Phone","699.99","2","10/08/2024"
"18501","Smartwatch","289.99","1","10/08/2024"
"18502","Smartwatch","289.99","1","10/08/2024"
"18503","Headphones","39.99","2","10/08/2024"
"18504","Laptop","999.99","1","10/08/2024"
"18505","Phone","699.99","1","11/08/2024"
"18506","Camera","499.99","1","11/08/2024"
"18507","Laptop","999.99","1","11/08/2024"
"18508","Charger","10.99","3","11/08/2024"
"18509","Headphones","39.99","1","11/08/2024"
"18510","Headphones","39.99","1","11/08/2024"
"18511","Laptop","999.99","1","11/08/2024"
"18512","Phone","699.99","1","11/08/2024"
"18513","Smartwatch","289.99","1","11/08/2024"
"18514","Smartwatch","289.99","2","11/08/2024"
"18515","Laptop","999.99","1","11/08/2024"
"18516","Camera","499.99","1","11/08/2024"
"18517","Charger","10.99","3","11/08/2024"
"18518","Headphones","39.99","3","11/08/2024"
"18519","Camera","499.99","1","12/08/2024"
"18520","Smartwatch","289.99","2","12/08/2024"
"18521","Charger","10.99","1","12/08/2024"
"18522","Laptop","999.99","1","12/08/2024"
"18523","Camera","499.99","1","12/08/2024"
"18524","Camera","499.99","1","12/08/2024"
"18525","Smartwatch","289.99","2","12/08/2024"
"18526","Phone","699.99","2","12/08/2024"
"18527","Headphones","39.99","2","12/08/2024"
"18528","Phone","699.99","2","12/08/2024"
"18529","Charger","10.99","4","12/08/2024"
"18530","Smartwatch","289.99","1","12/08/2024"
"18531","Laptop","999.99","1","12/08/2024"
"18532","Camera","499.99","1","12/08/2024"
"18533","Phone","699.99","1","12/08/2024"
"18534","Charger","10.99","3","13/08/2024"
"18535","Laptop","999.99","1","13/08/2024"
"18536","Camera","499.99","1","13/08/2024"
"18537","Headphones","39.99","1","13/08/2024"
"18538","Smartwatch","289.99","2","13/08/2024"
"18539","Charger","10.99","1","13/08/2024"
"18540","Smartwatch","289.99","1","13/08/2024"
"18541","Headphones","39.99","1","13/08/2024"
"18542","Phone","699.99","1","13/08/2024"
"18543","Camera","499.99","1","14/08/2024"
"18544","Headphones","39.99","2","14/08/2024"
"18545","Charger","10.99","2","14/08/2024"
"18546","Smartwatch","289.99","1","15/08/2024"
"18547","Camera","499.99","1","15/08/2024"
"18548","Smartwatch","289.99","2","15/08/2024"
"18549","Camera","499.99","1","15/08/2024"
"18550","Smartwatch","289.99","2","15/08/2024"
"18551","Headphones","39.99","2","15/08/2024"
"18552","Charger","10.99","4","15/08/2024"
"18553","Smartwatch","289.99","2","15/08/2024"
"18554","Smartwatch","289.99","2","15/08/2024"
"18555","Smartwatch","289.99","1","15/08/2024"
"18556","Smartwatch","289.99","2","16/08/2024"
"18557","Phone","699.99","2","16/08/2024"
"18558","Smartwatch","289.99","2","16/08/2024"
"18559","Camera","499.99","1","16/08/2024"
"18560","Smartwatch","289.99","1","16/08/2024"
"18561","Headphones","39.99","3","16/08/2024"
"18562","Camera","499.99","1","16/08/2024"
"18563","Camera","499.99","1","17/08/2024"
"18564","Smartwatch","289.99","2","17/08/2024"
"18565","Laptop","999.99","1","17/08/2024"
"18566","Headphones","39.99","3","17/08/2024"
"18567","Phone","699.99","1","17/08/2024"
"18568","Phone","699.99","1","17/08/2024"
"18569","Laptop","999.99","1","17/08/2024"
"18570","Laptop","999.99","1","18/08/2024"
"18571","Laptop","999.99","1","18/08/2024"
"18572","Charger","10.99","2","18/08/2024"
"18573","Laptop","999.99","1","18/08/2024"
"18574","Laptop","999.99","1","18/08/2024"
"18575","Headphones","39.99","1","18/08/2024"
"18576","Headphones","39.99","3","18/08/2024"
"18577","Camera","499.99","1","18/08/2024"
"18578","Charger","10.99","1","19/08/2024"
"18579","Charger","10.99","4","19/08/2024"
"18580","Headphones","39.99","1","19/08/2024"
"18581","Headphones","39.99","2","19/08/2024"
"18582","Laptop","999.99","1","19/08/2024"
"18583","Smartwatch","289.99","1","19/08/2024"
"18584","Headphones","39.99","1","19/08/2024"
"18585","Camera","499.99","1","19/08/2024"
"18586","Phone","699.99","2","19/08/2024"
"18587","Camera","499.99","1","19/08/2024"
"18588","Smartwatch","289.99","2","20/08/2024"
"18589","Camera","499.99","1","20/08/2024"
"18590","Camera","499.99","1","20/08/2024"
"18591","Smartwatch","289.99","2","20/08/2024"
"18592","Charger","10.99","2","20/08/2024"
"18593","Charger","10.99","5","20/08/2024"
"18594","Camera","499.99","1","20/08/2024"
"18595","Headphones","39.99","3","20/08/2024"
"18596","Headphones","39.99","3","20/08/2024"
"18597","Phone","699.99","1","20/08/2024"
"18598","Smartwatch","289.99","2","20/08/2024"
"18599","Charger","10.99","1","20/08/2024"
"18600","Phone","699.99","2","20/08/2024"
"18601","Camera","499.99","1","20/08/2024"
"18602","Smartwatch","289.99","2","20/08/2024"
"18603","Smartwatch","289.99","1","21/08/2024"
"18604","Laptop","999.99","1","21/08/2024"
"18605","Camera","499.99","1","21/08/2024"
"18606","Headphones","39.99","3","21/08/2024"
"18607","Charger","10.99","1","21/08/2024"
"18608","Smartwatch","289.99","2","21/08/2024"
"18609","Phone","699.99","1","21/08/2024"
"18610","Smartwatch","289.99","2","21/08/2024"
"18611","Charger","10.99","3","21/08/2024"
"18612","Camera","499.99","1","21/08/2024"
"18613","Camera","499.99","1","21/08/2024"
"18614","Smartwatch","289.99","1","21/08/2024"
"18615","Phone","699.99","1","21/08/2024"
"18616","Phone","699.99","1","21/08/2024"
"18617","Charger","10.99","2","21/08/2024"
"18618","Camera","499.99","1","21/08/2024"
"18619","Phone","699.99","2","21/08/2024"
"18620","Smartwatch","289.99","1","22/08/2024"
"18621","Smartwatch","289.99","1","22/08/2024"
"18622","Phone","699.99","1","22/08/2024"
"18623","Phone","699.99","1","22/08/2024"
"18624","Charger","10.99","4","22/08/2024"
"18625","Phone","699.99","2","22/08/2024"
"18626","Smartwatch","289.99","1","22/08/2024"
"18627","Smartwatch","289.99","1","22/08/2024"
"18628","Charger","10.99","3","22/08/2024"
"18629","Smartwatch","289.99","2","22/08/2024"
"18630","Laptop","999.99","1","23/08/2024"
"18631","Phone","699.99","1","23/08/2024"
"18632","Headphones","39.99","2","23/08/2024"
"18633","Headphones","39.99","2","23/08/2024"
"18634","Charger","10.99","4","23/08/2024"
"18635","Headphones","39.99","2","23/08/2024"
"18636","Laptop","999.99","1","23/08/2024"
"18637","Charger","10.99","1","23/08/2024"
"18638","Camera","499.99","1","23/08/2024"
"18639","Charger","10.99","5","23/08/2024"
"18640","Camera","499.99","1","23/08/2024"
"18641","Smartwatch","289.99","1","23/08/2024"
"18642","Camera","499.99","1","23/08/2024"
"18643","Camera","499.99","1","23/08/2024"
"18644","Charger","10.99","2","23/08/2024"
"18645","Charger","10.99","3","24/08/2024"
"18646","Laptop","999.99","1","24/08/2024"
"18647","Laptop","999.99","1","24/08/2024"
"18648","Phone","699.99","1","24/08/2024"
"18649","Headphones","39.99","1","24/08/2024"
"18650","Camera","499.99","1","24/08/2024"
"18651","Phone","699.99","2","24/08/2024"
"18652","Smartwatch","289.99","2","24/08/2024"
"18653","Laptop","999.99","1","24/08/2024"
"18654","Phone","699.99","2","24/08/2024"
"18655","Phone","699.99","1","24/08/2024"
"18656","Phone","699.99","1","24/08/2024"
"18657","Charger","10.99","4","25/08/2024"
"18658","Headphones","39.99","2","25/08/2024"
"18659","Laptop","999.99","1","25/08/2024"
"18660","Charger","10.99","2","25/08/2024"
"18661","Headphones","39.99","3","25/08/2024"
"18662","Laptop","999.99","1","25/08/2024"
"18663","Laptop","999.99","1","25/08/2024"
"18664","Laptop","999.99","1","25/08/2024"
"18665","Headphones","39.99","2","25/08/2024"
"18666","Phone","699.99","2","25/08/2024"
"18667","Laptop","999.99","1","26/08/2024"
"18668","Charger","10.99","4","26/08/2024"
"18669","Phone","699.99","1","26/08/2024"
"18670","Charger","10.99","4","26/08/2024"
"18671","Smartwatch","289.99","2","26/08/2024"
"18672","Charger","10.99","4","26/08/2024"
"18673","Headphones","39.99","2","27/08/2024"
"18674","Charger","10.99","5","27/08/2024"
"18675","Smartwatch","289.99","2","27/08/2024"
"18676","Headphones","39.99","2","27/08/2024"
"18677","Charger","10.99","2","27/08/2024"
"18678","Camera","499.99","1","27/08/2024"
"18679","Charger","10.99","2","27/08/2024"
"18680","Smartwatch","289.99","2","27/08/2024"
"18681","Charger","10.99","4","27/08/2024"
"18682","Phone","699.99","2","28/08/2024"
"18683","Laptop","999.99","1","28/08/2024"
"18684","Laptop","999.99","1","28/08/2024"
"18685","Charger","10.99","3","28/08/2024"
"18686","Laptop","999.99","1","28/08/2024"
"18687","Laptop","999.99","1","28/08/2024"
"18688","Phone","699.99","1","28/08/2024"
"18689","Laptop","999.99","1","28/08/2024"
"18690","Camera","499.99","1","28/08/2024"
"18691","Smartwatch","289.99","2","29/08/2024"
"18692","Laptop","999.99","1","29/08/2024"
"18693","Camera","499.99","1","29/08/2024"
"18694","Camera","499.99","1","29/08/2024"
"18695","Smartwatch","289.99","2","29/08/2024"
"18696","Charger","10.99","3","30/08/2024"
"18697","Headphones","39.99","1","30/08/2024"
"18698","Headphones","39.99","3","30/08/2024"
"18699","Laptop","999.99","1","30/08/2024"
"18700","Smartwatch","289.99","2","30/08/2024"
"18701","Camera","499.99","1","30/08/2024"
"18702","Laptop","999.99","1","30/08/2024"
"18703","Charger","10.99","4","30/08/2024"
"18704","Smartwatch","289.99","1","31/08/2024"
"18705","Phone","699.99","2","31/08/2024"
"18706","Headphones","39.99","2","31/08/2024"
"18707","Laptop","999.99","1","31/08/2024"
"18708","Headphones","39.99","1","31/08/2024"
"18709","Laptop","999.99","1","31/08/2024"
"18710","Camera","499.99","1","31/08/2024"
"18711","Camera","499.99","1","31/08/2024"
"18712","Laptop","999.99","1","31/08/2024"
