"Order number","Item sold","Cost per item","Quantity","Date"
"17515","Smartwatch","289.99","1","27/02/2024"
"17516","Headphones","39.99","1","27/02/2024"
"17517","Camera","499.99","1","28/02/2024"
"17518","Phone","699.99","2","28/02/2024"
"17519","Charger","10.99","4","29/02/2024"
"17520","Camera","499.99","1","29/02/2024"
"17521","Phone","699.99","1","29/02/2024"
"17522","Headphones","39.99","3","29/02/2024"
"17523","Phone","699.99","2","29/02/2024"
"17524","Headphones","39.99","3","01/03/2024"
"17525","Camera","499.99","1","01/03/2024"
"17526","Camera","499.99","1","01/03/2024"
"17527","Camera","499.99","1","02/03/2024"
"17528","Phone","699.99","1","02/03/2024"
"17529","Headphones","39.99","1","03/03/2024"
"17530","Smartwatch","289.99","2","03/03/2024"
"17531","Camera","499.99","1","03/03/2024"
"17532","Laptop","999.99","1","03/03/2024"
"17533","Charger","10.99","4","04/03/2024"
"17534","Headphones","39.99","1","05/03/2024"
"17535","Camera","499.99","1","06/03/2024"
"17536","Laptop","999.99","1","06/03/2024"
"17537","Phone","699.99","2","06/03/2024"
"17538","Headphones","39.99","3","07/03/2024"
"17539","Camera","499.99","1","07/03/2024"
"17540","Phone","699.99","2","08/03/2024"
"17541","Charger","10.99","3","08/03/2024"
"17542","Laptop","999.99","1","09/03/2024"
"17543","Laptop","999.99","1","09/03/2024"
"17544","Charger","10.99","2","09/03/2024"
"17545","Phone","699.99","2","10/03/2024"
"17546","Smartwatch","289.99","2","10/03/2024"
"17547","Laptop","999.99","1","10/03/2024"
"17548","Charger","10.99","1","11/03/2024"
"17549","Laptop","999.99","1","11/03/2024"
"17550","Headphones","39.99","2","12/03/2024"
"17551","Phone","699.99","1","12/03/2024"
"17552","Charger","10.99","2","13/03/2024"
"17553","Camera","499.99","1","13/03/2024"
"17554","Phone","699.99","2","13/03/2024"
"17555","Phone","699.99","1","14/03/2024"
"17556","Smartwatch","289.99","1","15/03/2024"
"17557","Camera","499.99","1","15/03/2024"
"17558","Phone","699.99","2","16/03/2024"
"17559","Headphones","39.99","1","16/03/2024"
"17560","Smartwatch","289.99","1","16/03/2024"
"17561","Phone","699.99","1","17/03/2024"
"17562","Camera","499.99","1","17/03/2024"
"17563","Phone","699.99","2","17/03/2024"
"17564","Phone","699.99","1","18/03/2024"
"17565","Charger","10.99","4","18/03/2024"
"17566","Charger","10.99","2","19/03/2024"
"17567","Laptop","999.99","1","19/03/2024"
"17568","Laptop","999.99","1","21/03/2024"
"17569","Camera","499.99","1","21/03/2024"
"17570","Headphones","39.99","2","22/03/2024"
"17571","Camera","499.99","1","22/03/2024"
"17572","Headphones","39.99","1","23/03/2024"
"17573","Phone","699.99","2","23/03/2024"
"17574","Camera","499.99","1","23/03/2024"
"17575","Headphones","39.99","3","23/03/2024"
"17576","Laptop","999.99","1","23/03/2024"
"17577","Laptop","999.99","1","23/03/2024"
"17578","Camera","499.99","1","24/03/2024"
"17579","Phone","699.99","1","24/03/2024"
"17580","Headphones","39.99","2","26/03/2024"
"17581","Charger","10.99","2","26/03/2024"
"17582","Headphones","39.99","1","26/03/2024"
"17583","Charger","10.99","5","27/03/2024"
"17584","Charger","10.99","3","27/03/2024"
"17585","Laptop","999.99","1","27/03/2024"
"17586","Laptop","999.99","1","28/03/2024"
"17587","Phone","699.99","1","28/03/2024"
"17588","Charger","10.99","2","29/03/2024"
"17589","Laptop","999.99","1","29/03/2024"
"17590","Camera","499.99","1","30/03/2024"
"17591","Smartwatch","289.99","1","31/03/2024"
"17592","Camera","499.99","1","31/03/2024"
"17593","Camera","499.99","1","31/03/2024"
"17594","Charger","10.99","1","31/03/2024"
